,id,dateCreated,likes,dislikes,rating,viewCount,deleted,channel
184,uBeZW5Nt_-g,2022-03-27T13:56:23.836354Z,9451,140,4.941611927849025,446474,False,TheMrMobile
185,hY5-vm3VKkc,2022-01-24T14:17:40.23414Z,8723,255,4.886388950768545,476676,False,TheMrMobile
186,Mt0mNRqDtEg,2022-01-25T06:07:20.160008Z,7736,88,4.955010224948875,214064,False,TheMrMobile
187,WGXrMpeG794,2022-04-07T05:21:17.949318Z,10086,177,4.931014323297282,553133,False,TheMrMobile
188,GtD48dr9T6A,2022-04-07T04:42:38.042878Z,9619,204,4.916929654891581,389965,False,TheMrMobile
189,mXawSVgDHOo,2022-02-25T06:13:57.487498Z,7475,136,4.928524504007358,279100,False,TheMrMobile
190,cUXUDKb4H7c,2022-03-25T23:45:32.5633Z,10869,398,4.858702405254283,416312,False,TheMrMobile
191,DaOmDKd7ang,2022-04-08T11:46:55.330524Z,13923,382,4.893184201328207,513829,False,TheMrMobile
192,qoQDMDP3rqU,2022-02-28T03:53:51.767566Z,14594,977,4.749020615246291,838192,False,TheMrMobile
193,c0-Bh40q4zE,2022-04-09T06:42:15.916617Z,25700,1306,4.806561504850774,984919,False,TheMrMobile
194,gs4mVr6C6p8,2022-02-17T02:22:47.295509Z,19570,493,4.901709614713652,784660,False,TheMrMobile
195,IXcVNlxDSfE,2022-04-09T08:05:21.941121Z,17956,348,4.923951048951049,1193742,False,TheMrMobile
196,w_eE6qRzaCQ,2022-01-19T09:58:26.581506Z,10853,191,4.930822165881927,287606,False,TheMrMobile
197,dAlZOCcldUY,2022-04-09T06:37:28.395947Z,10625,176,4.934820849921303,326310,False,TheMrMobile
198,q3oz5sEfw84,2022-03-04T01:53:39.400419Z,8028,297,4.857297297297297,319118,False,TheMrMobile
199,UEqJ6FCo35w,2022-04-09T18:33:07.876658Z,15845,355,4.912345679012346,441025,False,TheMrMobile
200,D99fD5NHops,2022-02-16T05:51:19.574582Z,9201,152,4.934994119533839,232863,False,TheMrMobile
201,ejGFU-FesQg,2022-02-03T11:03:20.586433Z,6740,94,4.9449809774656135,234101,False,TheMrMobile
202,ZzpDWZtOn7M,2022-03-12T08:48:58.644692Z,14657,320,4.914535621285972,572650,False,TheMrMobile
203,BxiNEX7SfNw,2022-02-15T11:59:00.563505Z,11025,203,4.927680798004988,244219,False,TheMrMobile
204,TXsWM3Du-dI,2022-03-03T15:19:16.914458Z,5320,153,4.888178329983556,137685,False,TheMrMobile
205,By3WGOw8XUE,2022-02-25T11:14:04.383747Z,22740,1365,4.773490976975731,843057,False,TheMrMobile
206,_a5FnW8UP40,2022-01-23T06:00:47.725364Z,19464,340,4.931327004645526,460559,False,TheMrMobile
